accountNumber,bankCode
"32670139","0035"
"38970383","0050"
"38496453","0045"
"98256636","0053"
"98967267","0062"
"22895242","0053"
"56778097","0070"
"45634937","0005"
"48617326","0070"
"30272143","0002"
"41950845","0054"
"74746676","0061"
"89535994","0066"
"33538251","0066"
"21095392","0036"
"81988866","0013"
"91692901","0001"
"78317364","0022"
"40404648","0018"
"54728656","0020"
"34743758","0021"
"26255143","0066"
"48463211","0043"
"92210095","0138"
"40063700","0018"
"91678136","0012"
"64468772","0010"
"19042589","0068"
"32523010","0013"
"06799784","0002"
"59901647","0016"
"87508098","0017"
"03966073","0075"
"55096639","0048"
"56435210","0019"
"82794662","0061"
"72960724","0074"
"72783942","0043"
"51632860","0006"
"61706840","0054"
"62185160","0002"
"18416011","0069"
"29505947","0043"
"28211878","0019"
"28483931","0010"
"18765524","0021"
"83392173","0010"
"15681647","0012"
"67648746","0064"
"72041436","0089"
"61558601","0068"
"24771084","0051"
"88578199","0001"
"91334979","0138"
"54971391","0017"
"12182313","0078"
"95073319","0012"
"08753390","1015"
"24531038","0048"
"55980397","0055"
"07074118","0012"
"71540811","0036"
"45353527","0089"
"61491687","0017"
"99060465","0076"
"68005965","0061"
"95997529","0017"
"89962197","0069"
"94279327","0003"
"67186736","0023"
"42807503","0035"
"10616343","0036"
"84574802","0018"
"49370637","0001"
"06058022","0065"
"46841954","0018"
"11481761","0079"
"47768602","0017"
"75232478","0070"
"07999981","0054"
"57141259","0032"
"10366935","0045"
"33252739","0068"
"58737534","0007"
"45702386","0055"
"17443857","0062"
"36514968","0062"
"14037234","0070"
"83187522","0138"
"44550285","0055"
"42976623","0012"
"29382803","0032"
"63162538","1015"
"97548629","0013"
"20102606","0051"
"50455127","0074"
"56513061","0036"
"26409219","0043"
"14187508","0022"
"65289395","0078"
"82584783","0013"
"13316130","0051"
"83275989","0007"
"82806510","0054"
"62050320","0022"
"36041440","0010"
"98502709","0013"
"31418617","0045"
"50461633","0016"
"35324344","0022"
"21173509","0062"
"29786530","0012"
"49230250","0079"
"25228570","0076"
"76433745","0053"
"41965484","0061"
"52907968","0076"
"60331925","0048"
"09011795","0056"
"93155341","0076"
"20344086","0138"
"20561103","0138"
"30470011","0068"
"57285242","0064"
"62448057","0020"
"77084541","0138"
"53650223","0023"
"25212304","0006"
"90224107","0036"
"21046158","0056"
"12394772","0051"
"41650568","0075"
"42234866","0078"
"94150857","0051"
"98736757","0065"
"63852638","0138"
"35426646","0006"
"90191896","0066"
"03197939","0066"
"53053221","0002"
"53717577","0053"
"00144934","0068"
"23878358","0006"
"86454232","0002"
"23182105","0022"
"56291272","0022"
"01515635","0011"
"59525037","0005"
"98077472","0045"
"94731840","0089"
"36903010","0032"
"34208138","0056"
"24006929","0019"
"21297057","0007"
"83177431","0048"
"87826837","0050"
"78362895","0068"
"42327524","0064"
"63360267","0021"
"50424378","0051"
"05749419","0017"
"27104198","0002"
"20687880","0053"
"12567066","0017"
"23352511","0036"
"90448948","0023"
"08064135","0053"
"96069556","0097"
"65155070","0068"
"93961806","0045"
"20907217","0001"
"51875982","0064"
"56991785","0001"
"41116919","0079"
"94403507","0070"
"61862102","0053"
"79035405","0089"
"82432252","0064"
"42527225","0076"
"06374339","0005"
"74396079","0066"
"31534230","0070"
"10849624","0023"
"39430626","0016"
"72352506","0056"
"28547837","0036"
"21642645","0023"
"45561287","0063"
"19233369","0063"
"96011684","0022"
"31971941","0050"
"33593202","0013"
"12015611","0042"
"45187709","0048"
"21738658","0054"
"19235873","0005"
"32970936","0003"
"71563488","0017"
"15452647","0074"
"13702533","0043"
"41061983","0074"
"91644182","0019"
"21699953","0061"
"41515174","1015"
"65100141","0074"
"98167833","0064"
"90886034","0079"
"60637506","0075"
"70859950","0012"
"76822606","0016"
"14234176","0019"
"61095637","0006"
"59503634","0016"
"23520881","0059"
"72825545","0064"
"40688782","0012"
"12567253","0074"
"17200067","0074"
"73288391","0050"
"61897868","0036"
"56072699","0006"
"42155825","0001"
"64719506","0064"
"14760694","1015"
"18251239","0062"
"63364873","0065"
"52830904","0089"
"08803373","0054"
"38745502","0001"
"61510685","0022"
"63409045","0012"
"88213563","0078"
"22965290","0089"
"74757759","0006"
"41688115","0042"
"19330769","0043"
"66587546","0042"
"06492606","0003"
"55355119","0020"
"23691170","0063"
"37854657","0042"
"80951879","0070"
"17387497","0016"
"28865992","0078"
"13237747","0074"
"84691351","0055"
"98835759","0079"
"22613192","0018"
"78826742","0056"
"18333913","0138"
"77914513","0075"
"86730992","0001"
"06668287","0043"
"23786708","0097"
"46670816","0016"
"64199474","0078"
"87296420","0013"
"85554640","0076"
"99150610","0048"
"77594229","0068"
"36305106","0045"
"51512415","0035"
"27844033","0011"
"79819239","0013"
"40163950","0079"
"55436510","0078"
"41108166","0013"
"84790096","0032"
"53754925","0018"
"31081211","0068"
"54257709","0078"
"27072495","0035"
"45679962","0055"
"90506443","0005"
"29718929","0042"
"92554990","0032"
"88223307","0053"
"56457223","0061"
"37430588","0035"
"87120866","0068"
"83840724","0012"
"66095427","0079"
"46136175","0069"
"44563853","0074"
"50158036","0022"
"93595472","0003"
"78078048","1015"
"40636391","0065"
"68086935","0016"
"92942138","0022"
"64167710","0017"
"32057064","0075"
"50950607","0017"
"09042629","0013"
"77902824","0016"
"98976530","0042"
"89222682","0089"
"64195774","0138"
"23668694","0021"
"91455965","0022"
"16059708","0079"
"81676350","0055"
"48481097","0036"
"07510202","0079"
"51376342","0032"
"77581772","0059"
"80440360","0003"
"71670785","0065"
"81598701","0062"
"51894881","0010"
"82906551","0005"
"87567158","0003"
"02892857","0013"
"28786547","0055"
"22716520","0013"
"32844030","0021"
"25578336","0070"
"97841372","0010"
"49255187","0021"
"11312661","0050"
"40574095","1015"
"13042672","0043"
"45360905","0078"
"92359401","0138"
"47676780","1015"
"13128597","0013"
"78284623","0023"
"49314480","0045"
"06524500","0064"
"27619394","0069"
"85436391","0061"
"55314047","0078"
"98491645","0059"
"58157373","0063"
"50952188","0059"
"16652390","0138"
"50234985","0013"
"49177718","0018"
"87827779","0006"
"93527619","0062"
"52317634","0061"
"59735151","0051"
"53404511","0012"
"27323282","0010"
"37210195","0062"
"74475157","0064"
"30583611","0020"
"39626100","0065"
"97142286","0013"
"83656416","0018"
"45729335","0001"
"70880206","0019"
"18515288","1015"
"93054031","0023"
"98049083","0019"
"30832934","0002"
"60820722","1015"
"25266266","0017"
"10680058","0079"
"98290816","0078"
"08333837","0021"
"47104750","0054"
"16230116","0062"
"71473063","0036"
"68570300","0089"
"20136022","0075"
"80768848","0018"
"30834868","0048"
"52070272","0016"
"22934105","0051"
"36765355","0007"
"57230270","0075"
"36959782","0018"
"50841389","0012"
"51866010","0089"
"28231728","0022"
"60517544","0016"
"92508140","0053"
"54948061","0056"
"50675524","0016"
"12077329","0068"
"58845781","0089"
"91702239","0012"
"81047018","0051"
"34134005","0001"
"99879380","0063"
"43654043","1015"
"57324024","0006"
"24079300","0050"
"53696486","0050"
"42973101","0010"
"22055793","0035"
"81681133","0043"
"49563898","0043"
"56385522","0043"
"91220300","0036"
"55495489","0056"
"36108849","0056"
"86392522","0043"
"17562633","0018"
"94821423","0079"
"36213424","0056"
"91367869","0063"
"52902669","0063"
"92438121","0075"
"94910310","0055"
"08804943","0097"
"38225004","0048"
"17421862","0064"
"49260290","0001"
"63099194","0089"
"29079866","0017"
"73042586","0016"
"12833070","0089"
"96042941","0051"
"03583344","0042"
"94857663","0063"
"96719957","0062"
"64020648","0010"
"17169785","0007"
"78383004","0006"
"75867476","0054"
"67512803","0011"
"71296827","0070"
"20691089","0048"
"87388121","0075"
"68402505","0059"
"72934404","0017"
"95011323","1015"
"34765139","0065"
"71035849","0013"
"61778894","0045"
"53499437","0032"
"99981877","0042"
"34671635","0062"
"73054782","0045"
"74297976","0006"
"89083711","0138"
"65127393","0059"
"61805561","0002"
"34723299","0022"
"86366391","0089"
"88437568","0035"
"75686732","0069"
"41699046","0020"
"74387378","0051"
"22925153","0048"
"26064480","0062"
"64220861","0035"
"07095692","0017"
"94482602","0050"
"20062009","0051"
"40841817","0051"
"55203266","0018"
"78183049","0032"
"76876874","0036"
"41475531","0074"
"72346812","0035"
"74095233","0064"
"98425731","0062"
"01606359","0023"
"13768684","0016"
"42558737","0051"
"36730740","0007"
"40966730","0061"
"28869576","0042"
"65511353","0018"
"85284447","0070"
"55448866","0097"
"29364078","0010"
"92294242","0036"
"71819151","0018"
"76157062","0051"
"39849209","0138"
"82635496","1015"
"05516438","0013"
"50839663","1015"
"27081552","0007"
"98015798","0023"
"44732714","0064"
"50261159","0062"
"25405504","0045"
"13233769","0010"
"70863726","0012"
"30732552","0065"
"26606715","0066"
"61220943","0013"
"04345509","0045"
"45941286","0059"
"63476412","0010"
"62693410","0006"
"13336283","0006"
"34107815","0070"
"23789173","0002"
"40119881","0079"
"26805000","0045"
"02710137","0012"
"29147592","0053"
"66171141","0054"
"68504230","0056"
"96112916","0053"
"17926257","0035"
"19723290","0065"
"55622182","0010"
"84020954","0074"
"55940357","0023"
"30660864","0045"
"23349756","0022"
"09970126","0070"
"50135487","0005"
"74158616","0138"
"60650698","0002"
"10879807","0002"
"67736142","0066"
"43792985","0021"
"49791416","0021"
"18538230","0002"
"42008135","0020"
"83994448","0045"
"20627199","0020"
"36002052","0036"
"00622064","0043"
"87592027","0078"
"08136366","0064"
"65170107","0079"
"57591038","0019"
"94617728","0013"
"29797624","0061"
"19848110","0018"
"93875907","0007"
"92792429","0078"
"24212825","0036"
"19472392","0068"
"00452978","0055"
"63042980","0050"
"03853847","0051"
"37191535","0069"
"90114370","0070"
"95748518","0023"
"66176435","0048"
"95903193","0070"
"37212666","0097"
"91104197","0070"
"72011327","1015"
"11755402","1015"
"82208442","0048"
"27816729","0045"
"97382027","0020"
"02169380","1015"
"51883521","0074"
"23075448","0016"
"40472287","0023"
"42778257","0018"
"72939827","0059"
"66919183","0021"
"27068852","0036"
"83132781","0012"
"48157886","0079"
"49682510","1015"
"29676550","0023"
"24686350","0006"
"98836744","0023"
"42230085","0013"
"79457045","0074"
"29065803","0001"
"67019769","0020"
"07972280","0138"
"49441644","0002"
"55759172","0138"
"73528796","0089"
"68145925","0021"
"08266236","0062"
"01034678","0076"
"54921827","0023"
"08672787","0078"
"92178815","0013"
"39339922","0042"
"33425888","0070"
"10079954","0035"
"89149237","0001"
"55151069","0075"
"77575285","0054"
"65650299","0048"
"20925940","0036"
"11749768","0022"
"19043451","0023"
"33381758","0002"
"25727393","0054"
"35663191","0001"
"99846434","0138"
"99051404","0089"
"21383564","0006"
"77600577","0012"
"14095254","0035"
"41839464","0043"
"54686702","0078"
"61111162","0078"
"14732382","0045"
"88423295","0050"
"38814712","0069"
"77450965","0063"
"98421142","0097"
"94231506","0032"
"57173620","0075"
"42632649","0065"
"53869450","0050"
"14237187","0079"
"66020286","0062"
"02151559","0069"
"65029618","0043"
"12296768","0043"
"35742348","0010"
"10562948","0054"
"28045924","0023"
"18487472","0011"
"45537841","0051"
"55432853","0032"
"50608603","0013"
"89229132","0003"
"83739741","0065"
"80942611","0054"
"53403940","0042"
"58499084","0069"
"06223636","0089"
"18875082","0001"
"49478743","0019"
"64342393","0075"
"91546279","0001"
"57945684","0078"
"44711113","0010"
"42842209","0045"
"46372250","1015"
"15550571","0013"
"41187582","0042"
"29898633","0079"
"64225843","0097"
"30510731","0023"
"53880365","0051"
"88384137","0070"
"95548249","0045"
"35387098","0056"
"65200373","0017"
"35533095","0089"
"51321354","0012"
"26204922","0068"
"30530121","0068"
"07114720","0036"
"00670614","0070"
"99067356","0016"
"29902677","0043"
"93137704","0063"
"45231234","0048"
"71123270","0076"
"19369851","0020"
"81449402","0016"
"30000364","0048"
"76385170","0056"
"11416753","0043"
"81090774","0061"
"12910837","0069"
"61036771","0023"
"13721523","0076"
"58307146","0089"
"59584692","0006"
"70341713","0023"
"43774325","0074"
"93977574","0002"
"61080860","0069"
"74357547","0066"
"77234251","0055"
"03555624","0138"
"36689312","0021"
"85554236","0020"
"04598073","0089"
"78880633","0007"
"71466163","0048"
"89614297","0010"
"36690027","0010"
"04361273","0097"
"39727441","0003"
"10461008","0043"
"35568673","0078"
"62254623","0001"
"32957542","1015"
"60397779","0097"
"86359004","0010"
"01430450","0053"
"76852688","0068"
"97189270","0061"
"07778145","0018"
"21418700","0003"
"49659648","0045"
"35583271","0051"
"23845708","0066"
"20017462","0056"
"76221686","0002"
"65529414","0050"
"12189963","0050"
"75083722","0019"
"86876248","0012"
"60958416","0050"
"87112892","0003"
"16484355","0078"
"65760518","0043"
"77680860","0138"
"98138468","0089"
"14166085","0089"
"05602196","0097"
"04217253","0021"
"77222498","0016"
"25534158","0042"
"12739142","0010"
"24690663","0138"
"87315610","0002"
"83429014","0032"
"92479655","0045"
"96833319","0001"
"67183088","0017"
"50172865","0020"
"85217244","0013"
"29863068","0005"
"21539289","0061"
"62135449","0068"
"57412413","0023"
"19044887","0051"
"42362549","0002"
"79776511","0064"
"31024696","0019"
"08491396","0056"
"18257481","0075"
"89600579","0076"
"47597677","0022"
"58002237","0061"
"32280731","0020"
"71984616","0048"
"62647121","1015"
"67501462","0054"
"55410519","0021"
"11680457","0010"
"04663876","0075"
"69445737","0097"
"35837823","0068"
"38913662","0006"
"80328072","0019"
"63234776","0050"
"67857403","0045"
"73792308","0051"
"85688745","0021"
"48063471","0021"
"48031442","0064"
"99101374","0020"
"52077674","0022"
"16106282","0032"
"36591806","0006"
"00420705","0069"
"98659253","0056"
"74101926","0076"
"76988143","0074"
"77502718","1015"
"72523736","0064"
"93111793","0059"
"32001776","0020"
"46856518","0003"
"04979701","0059"
"25407077","0018"
"78912681","0011"
"23193916","0013"
"23320628","0062"
"71186965","0056"
"17526386","0011"
"44196908","0042"
"21328150","0005"
"61286941","0070"
"45848272","0010"
"65847776","0043"
"47125440","0020"
"31062992","0089"
"02821876","0069"
"79538071","0051"
"03791739","0076"
"64975269","0089"
"27553777","0064"
"66475578","0010"
"51105880","0066"
"07698327","0138"
"86739851","0074"
"95986472","0045"
"93087888","0065"
"54003314","0075"
"01442717","0043"
"45454619","0074"
"63755384","0075"
"96574648","0138"
"46385831","0010"
"97088824","0021"
"32014213","0042"
"24722046","0065"
"17426657","0054"
"34380475","0022"
"38793972","0138"
"28726722","0068"
"06903679","0022"
"12629639","0055"
"19810079","0006"
"26540596","0018"
"88626051","0059"
"38897144","0045"
"16299690","0066"
"22921592","0016"
"65853751","0011"
"48693411","0017"
"13983677","0045"
"84411174","0059"
"94088275","0032"
"32280929","0042"
"55242028","0078"
"51311240","0062"
"53083871","0019"
"91401555","0048"
"08147601","0059"
"60596977","0006"
"86292122","0053"
"97065920","0035"
"72954899","0035"
"71716099","0013"
"58800276","1015"
"19661249","0006"
"89960084","0075"
"05124236","0012"
"82715551","0042"
"10888334","0063"
"15534836","0074"
"06949708","0097"
"87124460","0079"
"85856704","0020"
"95770514","0042"
"45894701","0065"
"80568777","0055"
"96777920","0068"
"26634358","0078"
"33616745","0035"
"06651095","0061"
"01799629","0010"
"01295006","0017"
"78465637","0045"
"90645031","0017"
"14450896","0062"
"80211892","0032"
"80665085","0076"
"04180542","0017"
"33072258","0138"
"36051332","0061"
"69852424","0070"
"71669485","0089"
"51076093","0089"
