Account Number,Bank Code
81250405,0063
54679914,0069
91076807,0035
07337880,0022
42671646,0035
34746065,0053
69054815,0019
72250275,0012
35404282,0051
87327827,0061
79610155,0019
81933147,0064
70506058,0070
58353727,0053
89793717,0002
45834914,0048
21182717,0076
94517240,0010
19165899,0054
96616860,0055
46942708,1015
63543526,0042
57550563,0006
17915193,0062
65434824,0059
70245436,0065
71735367,0045
60041359,0042
96707299,0005
94465955,0059
23450867,0032
87318835,0059
59393715,0079
41463723,1015
41590311,0005
78914109,0002
86682754,0078
45231688,0062
42401100,0023
85070727,0068
23132690,0007
87773419,0010
64663238,0064
22498899,0089
98310787,0010
46816706,0021
01620309,0006
07646134,0043
92161682,0065
54019103,0069
87132904,0075
95470101,0061
10599712,0023
75736677,0016
08205130,0022
10270359,0051
94573021,0064
55920013,0065
48427972,0059
83643662,0053
04192730,0016
38482489,0068
05094952,0053
33681544,0018
07370472,0097
17183192,1015
29558160,0054
23103973,0065
90191728,0066
89559958,0065
32873539,0017
55459701,0138
33815165,0138
50536290,0019
08098188,1015
37269440,0068
23114351,0045
98781360,0011
89333329,0005
21060494,0074
37904575,0070
88439968,0061
97711152,0003
52596899,0062
59274805,0042
74381997,0069
60255453,0042
47041141,0054
34384486,0043
98178205,0066
17529182,0002
45792539,0022
98756002,0089
52601383,0053
69523310,0011
61292409,0042
51408946,0055
56147080,0097
70666669,0002
94619976,0053
33585684,0065
75885666,0019
03576617,0032
25295908,0011
99698587,0074
88966819,0138
05656050,1015
11320898,0022
97715955,0020
87481350,0138
18186086,0019
03755545,0010
99635177,0074
75762469,0069
96431915,0005
31504430,0043
05798673,0019
54547597,0053
33766832,0048
08600866,0138
30251653,0007
00977549,0074
34631676,0043
67684973,0138
54541159,0048
01078769,0063
77416060,0010
83120572,0089
52095823,1015
03201034,0051
63088129,0138
06558097,0016
39350245,0012
31866871,0006
89739807,0065
89812440,0032
80922510,0065
67753224,0068
13703171,0042
51788660,0064
20688247,0018
61775623,0036
16848224,0002
11156773,0002
44450043,0036
10580499,0054
72307826,0055
18704996,0055
97560854,0001
27489958,0042
92416857,0012
96916829,0068
74893613,0079
33714744,0032
09572086,0006
28878365,0063
73444647,0023
25701895,0001
66970747,0002
53396941,0048
80299638,0050
71369791,0050
95025446,0064
03138243,0021
22545264,0074
09649085,0016
73355933,0006
16583723,0048
04584680,0066
51237604,0063
72392709,0001
05953632,0010
02819293,0078
35299390,0006
13437796,0069
64280973,0006
86753569,0043
83830257,1015
44067912,0076
24632497,0076
19458079,0074
85877045,0051
96255688,0068
33115752,0012
23741236,0070
09267306,0051
57769325,0055
58856286,0012
01310960,0003
83955984,0002
18250551,0050
45394999,0010
08255020,0078
22206665,0017
14281759,0019
27007727,0017
01399997,0045
16560781,0036
97749595,0035
63364645,0005
29853645,0003
79709637,0011
66336000,0068
38391054,0097
79354406,0078
50504371,0045
40702120,0045
37757326,0050
58711686,0022
87335105,0012
56827287,0020
83293499,0075
73779893,0045
00571253,0012
53298555,0013
55924157,0079
41497640,0021
93318748,0050
90068824,0018
20306886,0043
14424961,0138
65297937,0005
62857783,0013
49631986,0069
95445840,0042
68486590,0002
15557195,0002
13503876,0078
46597958,0051
39374447,0075
71559943,0023
75941914,0011
64566582,0076
61077470,0138
97417751,0001
10692232,0076
53368247,0021
89400461,0138
69070778,0016
72416584,0021
59098842,0070
95289891,0012
50561718,0023
78835873,0019
41777094,0017
03012254,0035
07751500,0051
64811737,0045
97534839,0055
24704708,0065
09494705,0003
43239875,0022
11798812,0069
75757182,0032
55927445,0066
13514987,0019
